         CCEN           E1        VISEN                      E            PX            PY            PZ
 5.689281e+00  1.493228e+00  6.046443e+00  	  5.493765e-01  5.226552e-02 -4.195354e-01 -6.974679e-02
 4.484371e+00  8.344513e-01  5.066188e+00  	  5.513485e-01  1.696795e-01 -3.034668e-01  1.754521e-01
 5.778900e+00  1.023013e+00  6.348351e+00  	  5.553646e-01 -2.418391e-01 -1.249896e-01  7.918280e-02
 3.805365e+00  1.146327e+00  3.791079e+00  	  5.612642e-01  3.626090e-02  5.492198e-02  1.250886e-01
 4.507497e+00  1.218741e+00  4.864563e+00  	  5.535544e-01  1.108741e-01  8.890862e-02 -2.314405e-01
 6.628696e+00  3.404925e+00  6.119639e+00  	  5.568593e-01 -5.595614e-02  2.694391e-01 -1.330230e-01
 1.816356e+00  5.709882e-01  2.230579e+00  	  5.498760e-01  3.112575e-01 -1.606631e-01  5.630074e-02
 3.016023e+00  5.176573e-01  2.910843e+00  	  5.613608e-01  1.353990e-01  2.452873e-01 -1.005940e-01
 5.332599e+00  1.377947e+00  5.212619e+00  	  5.597541e-01 -7.303677e-02  6.949517e-02  4.675535e-02
 6.849711e+00  2.762156e+00  7.429838e+00  	  5.607585e-01  4.406387e-02 -5.737472e-02  9.236623e-02
 4.926167e+00  1.309067e+00  3.505958e+00  	  5.613595e-01  4.942336e-02 -1.211136e-01 -1.230338e-01
